SrNo,Parameter,Unit,Date,Value,Data Source,Location,Latitude,Longitude
742,Sulphate,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
743,Chloride,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
744,Total alkalinity as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
745,P-Alkalinity,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
746,Fluoride,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
747,Colour,Hazen,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
748,Boron(B),mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
749,TKN,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
750,Potassium,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
751,Sodium,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
752,Total Coliform,MPN/100ml,"[01-03-2018, 31-03-2018]",1.4E+4,CPCB,Diggian,30.6762491,76.7282489
753,Faecal Coliform,MPN/100ml,"[01-03-2018, 31-03-2018]",1.1E+4,CPCB,Diggian,30.6762491,76.7282489
754,pH,-,"[01-04-2018, 30-04-2018]",7.1,CPCB,Diggian,30.6762491,76.7282489
755,Conductivity,µs/cm,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
756,DO,mg/l,"[01-04-2018, 30-04-2018]",3.3,CPCB,Diggian,30.6762491,76.7282489
757,COD,mg/l,"[01-04-2018, 30-04-2018]",187.0,CPCB,Diggian,30.6762491,76.7282489
758,BOD,mg/l,"[01-04-2018, 30-04-2018]",63.0,CPCB,Diggian,30.6762491,76.7282489
759,NO3-N,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
760,NH3-N,mg/l,"[01-04-2018, 30-04-2018]",25.0,CPCB,Diggian,30.6762491,76.7282489
761,Phosphate,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
762,TSS,mg/l,"[01-04-2018, 30-04-2018]",85.0,CPCB,Diggian,30.6762491,76.7282489
763,TDS,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
764,FS,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
765,Turbidity,NTU,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
766,TH as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
767,Ca as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
768,Mg as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
769,Sulphate,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
770,Chloride,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
771,Total alkalinity as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
772,P-Alkalinity,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
773,Fluoride,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
774,Colour,Hazen,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
775,Boron(B),mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
776,TKN,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
777,Potassium,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
778,Sodium,mg/l,"[01-04-2018, 30-04-2018]",,CPCB,Diggian,30.6762491,76.7282489
779,Total Coliform,MPN/100ml,"[01-04-2018, 30-04-2018]",9600.0,CPCB,Diggian,30.6762491,76.7282489
780,Faecal Coliform,MPN/100ml,"[01-04-2018, 30-04-2018]",5400.0,CPCB,Diggian,30.6762491,76.7282489
781,pH,-,"[01-05-2018, 31-05-2018]",7.0,CPCB,Diggian,30.6762491,76.7282489
782,Conductivity,µs/cm,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
783,DO,mg/l,"[01-05-2018, 31-05-2018]",2.9,CPCB,Diggian,30.6762491,76.7282489
784,COD,mg/l,"[01-05-2018, 31-05-2018]",130.0,CPCB,Diggian,30.6762491,76.7282489
785,BOD,mg/l,"[01-05-2018, 31-05-2018]",58.0,CPCB,Diggian,30.6762491,76.7282489
786,NO3-N,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
787,NH3-N,mg/l,"[01-05-2018, 31-05-2018]",32.0,CPCB,Diggian,30.6762491,76.7282489
788,Phosphate,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
789,TSS,mg/l,"[01-05-2018, 31-05-2018]",65.0,CPCB,Diggian,30.6762491,76.7282489
790,TDS,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
791,FS,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
792,Turbidity,NTU,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
793,TH as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
794,Ca as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
795,Mg as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
796,Sulphate,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
797,Chloride,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
798,Total alkalinity as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
799,P-Alkalinity,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
800,Fluoride,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
801,Colour,Hazen,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
802,Boron(B),mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
803,TKN,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
804,Potassium,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
805,Sodium,mg/l,"[01-05-2018, 31-05-2018]",,CPCB,Diggian,30.6762491,76.7282489
806,Total Coliform,MPN/100ml,"[01-05-2018, 31-05-2018]",1.7E+5,CPCB,Diggian,30.6762491,76.7282489
807,Faecal Coliform,MPN/100ml,"[01-05-2018, 31-05-2018]",6.1E+4,CPCB,Diggian,30.6762491,76.7282489
808,pH,-,"[01-06-2018, 30-06-2018]",6.9,CPCB,Diggian,30.6762491,76.7282489
809,Conductivity,µs/cm,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
810,DO,mg/l,"[01-06-2018, 30-06-2018]",1.9,CPCB,Diggian,30.6762491,76.7282489
811,COD,mg/l,"[01-06-2018, 30-06-2018]",128.0,CPCB,Diggian,30.6762491,76.7282489
812,BOD,mg/l,"[01-06-2018, 30-06-2018]",49.0,CPCB,Diggian,30.6762491,76.7282489
813,NO3-N,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
814,NH3-N,mg/l,"[01-06-2018, 30-06-2018]",23.0,CPCB,Diggian,30.6762491,76.7282489
815,Phosphate,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
816,TSS,mg/l,"[01-06-2018, 30-06-2018]",56.0,CPCB,Diggian,30.6762491,76.7282489
817,TDS,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
818,FS,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
819,Turbidity,NTU,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
820,TH as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
821,Ca as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
822,Mg as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
823,Sulphate,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
824,Chloride,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
825,Total alkalinity as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
826,P-Alkalinity,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
827,Fluoride,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
828,Colour,Hazen,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
829,Boron(B),mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
830,TKN,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
831,Potassium,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
832,Sodium,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,Diggian,30.6762491,76.7282489
833,Total Coliform,MPN/100ml,"[01-06-2018, 30-06-2018]",2.7E+5,CPCB,Diggian,30.6762491,76.7282489
834,Faecal Coliform,MPN/100ml,"[01-06-2018, 30-06-2018]",6.9E+4,CPCB,Diggian,30.6762491,76.7282489
835,pH,-,"[01-07-2018, 31-07-2018]",6.9,CPCB,Diggian,30.6762491,76.7282489
836,Conductivity,µs/cm,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
837,DO,mg/l,"[01-07-2018, 31-07-2018]",3.2,CPCB,Diggian,30.6762491,76.7282489
838,COD,mg/l,"[01-07-2018, 31-07-2018]",95.0,CPCB,Diggian,30.6762491,76.7282489
839,BOD,mg/l,"[01-07-2018, 31-07-2018]",41.0,CPCB,Diggian,30.6762491,76.7282489
840,NO3-N,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
841,NH3-N,mg/l,"[01-07-2018, 31-07-2018]",30.0,CPCB,Diggian,30.6762491,76.7282489
842,Phosphate,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
843,TSS,mg/l,"[01-07-2018, 31-07-2018]",43.0,CPCB,Diggian,30.6762491,76.7282489
844,TDS,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
845,FS,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
846,Turbidity,NTU,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
847,TH as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
848,Ca as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
849,Mg as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
850,Sulphate,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
851,Chloride,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
852,Total alkalinity as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
853,P-Alkalinity,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
854,Fluoride,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
855,Colour,Hazen,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
856,Boron(B),mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
857,TKN,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
858,Potassium,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
859,Sodium,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,Diggian,30.6762491,76.7282489
860,Total Coliform,MPN/100ml,"[01-07-2018, 31-07-2018]",1.7E+5,CPCB,Diggian,30.6762491,76.7282489
861,Faecal Coliform,MPN/100ml,"[01-07-2018, 31-07-2018]",1.4E+5,CPCB,Diggian,30.6762491,76.7282489
862,pH,-,"[01-08-2018, 31-08-2018]",7.1,CPCB,Diggian,30.6762491,76.7282489
863,Conductivity,µs/cm,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
864,DO,mg/l,"[01-08-2018, 31-08-2018]",4.9,CPCB,Diggian,30.6762491,76.7282489
865,COD,mg/l,"[01-08-2018, 31-08-2018]",71.0,CPCB,Diggian,30.6762491,76.7282489
866,BOD,mg/l,"[01-08-2018, 31-08-2018]",21.0,CPCB,Diggian,30.6762491,76.7282489
867,NO3-N,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
868,NH3-N,mg/l,"[01-08-2018, 31-08-2018]",21.0,CPCB,Diggian,30.6762491,76.7282489
869,Phosphate,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
870,TSS,mg/l,"[01-08-2018, 31-08-2018]",19.0,CPCB,Diggian,30.6762491,76.7282489
871,TDS,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
872,FS,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
873,Turbidity,NTU,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
874,TH as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
875,Ca as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
876,Mg as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
877,Sulphate,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
878,Chloride,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
879,Total alkalinity as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
880,P-Alkalinity,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
881,Fluoride,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
882,Colour,Hazen,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
883,Boron(B),mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
884,TKN,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
885,Potassium,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
886,Sodium,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,Diggian,30.6762491,76.7282489
887,Total Coliform,MPN/100ml,"[01-08-2018, 31-08-2018]",7.6E+4,CPCB,Diggian,30.6762491,76.7282489
888,Faecal Coliform,MPN/100ml,"[01-08-2018, 31-08-2018]",5.4E+4,CPCB,Diggian,30.6762491,76.7282489
889,pH,-,"[01-09-2018, 30-09-2018]",7.3,CPCB,Diggian,30.6762491,76.7282489
890,Conductivity,µs/cm,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
891,DO,mg/l,"[01-09-2018, 30-09-2018]",4.5,CPCB,Diggian,30.6762491,76.7282489
892,COD,mg/l,"[01-09-2018, 30-09-2018]",61.0,CPCB,Diggian,30.6762491,76.7282489
893,BOD,mg/l,"[01-09-2018, 30-09-2018]",28.0,CPCB,Diggian,30.6762491,76.7282489
894,NO3-N,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
895,NH3-N,mg/l,"[01-09-2018, 30-09-2018]",28.0,CPCB,Diggian,30.6762491,76.7282489
896,Phosphate,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
897,TSS,mg/l,"[01-09-2018, 30-09-2018]",46.0,CPCB,Diggian,30.6762491,76.7282489
898,TDS,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
899,FS,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
900,Turbidity,NTU,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
901,TH as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
902,Ca as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
903,Mg as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
904,Sulphate,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
905,Chloride,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
906,Total alkalinity as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
907,P-Alkalinity,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
908,Fluoride,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
909,Colour,Hazen,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
910,Boron(B),mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
911,TKN,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
912,Potassium,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
913,Sodium,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,Diggian,30.6762491,76.7282489
914,Total Coliform,MPN/100ml,"[01-09-2018, 30-09-2018]",9.3E+5,CPCB,Diggian,30.6762491,76.7282489
915,Faecal Coliform,MPN/100ml,"[01-09-2018, 30-09-2018]",6.9E+5,CPCB,Diggian,30.6762491,76.7282489
916,pH,-,"[01-10-2018, 31-10-2018]",7.4,CPCB,Diggian,30.6762491,76.7282489
917,Conductivity,µs/cm,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
918,DO,mg/l,"[01-10-2018, 31-10-2018]",4.2,CPCB,Diggian,30.6762491,76.7282489
919,COD,mg/l,"[01-10-2018, 31-10-2018]",56.0,CPCB,Diggian,30.6762491,76.7282489
920,BOD,mg/l,"[01-10-2018, 31-10-2018]",28.0,CPCB,Diggian,30.6762491,76.7282489
921,NO3-N,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
922,NH3-N,mg/l,"[01-10-2018, 31-10-2018]",37.0,CPCB,Diggian,30.6762491,76.7282489
923,Phosphate,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
924,TSS,mg/l,"[01-10-2018, 31-10-2018]",30.0,CPCB,Diggian,30.6762491,76.7282489
925,TDS,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
926,FS,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
927,Turbidity,NTU,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
928,TH as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
929,Ca as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
930,Mg as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
931,Sulphate,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
932,Chloride,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
933,Total alkalinity as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
934,P-Alkalinity,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
935,Fluoride,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
936,Colour,Hazen,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
937,Boron(B),mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
938,TKN,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
939,Potassium,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
940,Sodium,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,Diggian,30.6762491,76.7282489
941,Total Coliform,MPN/100ml,"[01-10-2018, 31-10-2018]",8E+6,CPCB,Diggian,30.6762491,76.7282489
942,Faecal Coliform,MPN/100ml,"[01-10-2018, 31-10-2018]",4.5E+6,CPCB,Diggian,30.6762491,76.7282489
943,pH,-,"[01-11-2018, 30-11-2018]",7.2,CPCB,Diggian,30.6762491,76.7282489
944,Conductivity,µs/cm,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
945,DO,mg/l,"[01-11-2018, 30-11-2018]",2.6,CPCB,Diggian,30.6762491,76.7282489
946,COD,mg/l,"[01-11-2018, 30-11-2018]",126.0,CPCB,Diggian,30.6762491,76.7282489
947,BOD,mg/l,"[01-11-2018, 30-11-2018]",51.0,CPCB,Diggian,30.6762491,76.7282489
948,NO3-N,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
949,NH3-N,mg/l,"[01-11-2018, 30-11-2018]",41.0,CPCB,Diggian,30.6762491,76.7282489
950,Phosphate,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
951,TSS,mg/l,"[01-11-2018, 30-11-2018]",45.0,CPCB,Diggian,30.6762491,76.7282489
952,TDS,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
953,FS,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
954,Turbidity,NTU,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
955,TH as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
956,Ca as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
957,Mg as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
958,Sulphate,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
959,Chloride,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
960,Total alkalinity as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
961,P-Alkalinity,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
962,Fluoride,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
963,Colour,Hazen,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
964,Boron(B),mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
965,TKN,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
966,Potassium,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
967,Sodium,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,Diggian,30.6762491,76.7282489
968,Total Coliform,MPN/100ml,"[01-11-2018, 30-11-2018]",1.8E+6,CPCB,Diggian,30.6762491,76.7282489
969,Faecal Coliform,MPN/100ml,"[01-11-2018, 30-11-2018]",1.4E+5,CPCB,Diggian,30.6762491,76.7282489
970,pH,-,"[01-12-2018, 31-12-2018]",7.1,CPCB,Diggian,30.6762491,76.7282489
971,Conductivity,µs/cm,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
972,DO,mg/l,"[01-12-2018, 31-12-2018]",1.2,CPCB,Diggian,30.6762491,76.7282489
973,COD,mg/l,"[01-12-2018, 31-12-2018]",135.0,CPCB,Diggian,30.6762491,76.7282489
974,BOD,mg/l,"[01-12-2018, 31-12-2018]",58.0,CPCB,Diggian,30.6762491,76.7282489
975,NO3-N,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
976,NH3-N,mg/l,"[01-12-2018, 31-12-2018]",34.0,CPCB,Diggian,30.6762491,76.7282489
977,Phosphate,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
978,TSS,mg/l,"[01-12-2018, 31-12-2018]",39.0,CPCB,Diggian,30.6762491,76.7282489
979,TDS,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
980,FS,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
981,Turbidity,NTU,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
982,TH as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
983,Ca as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
984,Mg as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
985,Sulphate,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
986,Chloride,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
987,Total alkalinity as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
988,P-Alkalinity,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
989,Fluoride,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
990,Colour,Hazen,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
991,Boron(B),mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
992,TKN,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
993,Potassium,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
